,0
0,0.0startup
1,-1.6037929058074951menu ingeklapt
2,-1.6037929058074951changed window to bookview
3,-1.6037929058074951repeat aan
4,-1.6078097820281982geluid aan
5,-1.6088073253631592doorbladeren aan
6,-1.6088073253631592tekst small
7,-1.6088073253631592grote knop
8,-1.6098051071166992kind1
9,-2.792544364929199menu ingeklapt
10,-2.796530246734619changed window to pages
11,-3.847198963165283changed window to page view18
12,-5.699672222137451play sound
13,-7.070024013519287play sound
14,-8.113357543945312play sound
15,-8.697597980499268play sound
16,-9.201026678085327play sound
17,-9.614055156707764play sound
18,-11.036001682281494closing
